Participant,Audio File,Transcription,Rating
Palistha,1.wav,"Hello, welcome to our text-to-speech demo!",5
Palistha,2.wav,The quick brown fox jumps over the lazy dog.,5
Palistha,3.wav,Artificial intelligence makes life easier.,5
Palistha,4.wav,Django is a powerful web framework for developers.,5
Palistha,5.wav,Can you hear this text converted into speech?,5
Palistha,6.wav,"With text-to-speech technology, we can convert written words into lifelike audio.",5
Palistha,7.wav,Speech synthesis allows computers to communicate in a way that feels more natural.,5
Palistha,8.wav,This is a demonstration of how you can use Python to generate human-like speech.,5
Palistha,9.wav,Text-to-speech systems are widely used in navigation devices and accessibility tools.,5
Palistha,10.wav,The future of technology lies in making information accessible to everyone.,5
Palistha,11.wav,"Text-to-speech technology is transforming the way we interact with devices. By converting text into natural-sounding audio, it bridges the gap between written content and auditory experiences. This innovation has applications in education, entertainment, and accessibility, making it easier for people with disabilities to engage with the digital world.",5
Palistha,12.wav,"In recent years, artificial intelligence has significantly improved the quality of text-to-speech systems. These advancements enable machines to produce speech that closely mimics human intonation, rhythm, and emotion. As a result, TTS technology is now being integrated into various fields, including virtual assistants, audiobooks, and customer service.",2
Palistha,13.wav,"Nature is a boundless source of inspiration and wonder. From the towering peaks of majestic mountains to the tranquil waves of the ocean, every element reflects an extraordinary diversity. The chirping of birds at dawn, the rustling of leaves in the wind, and the gentle murmur of a flowing river create a harmonious symphony that soothes the soul. Even in the smallest details, like the intricate patterns of a snowflake or the vibrant hues of a blooming flower, nature reminds us of the beauty that surrounds us.",4
Palistha,14.wav,"Technology has transformed every aspect of our lives. It has made communication instant, learning accessible, and work more efficient. From smartphones to self-driving cars, innovations continue to shape our future. However, these advancements come with challenges like data privacy and over-dependence. As we embrace new technologies, it’s vital to use them responsibly to create a better, more inclusive world.",2
Palistha,15.wav,"Perseverance is key to overcoming life’s challenges. It helps us push through difficulties and turn failures into learning experiences. Many great inventors, athletes, and leaders have succeeded because they refused to give up, even when faced with obstacles. Perseverance teaches us that success is not just about talent but also about dedication and the willingness to try again.",4
samyak,1.wav,"Hello, welcome to our text-to-speech demo!",5
samyak,2.wav,The quick brown fox jumps over the lazy dog.,5
samyak,3.wav,Artificial intelligence makes life easier.,5
samyak,4.wav,Django is a powerful web framework for developers.,5
samyak,5.wav,Can you hear this text converted into speech?,5
samyak,6.wav,"With text-to-speech technology, we can convert written words into lifelike audio.",5
samyak,7.wav,Speech synthesis allows computers to communicate in a way that feels more natural.,5
samyak,8.wav,This is a demonstration of how you can use Python to generate human-like speech.,5
samyak,9.wav,Text-to-speech systems are widely used in navigation devices and accessibility tools.,5
samyak,10.wav,The future of technology lies in making information accessible to everyone.,5
samyak,11.wav,"Text-to-speech technology is transforming the way we interact with devices. By converting text into natural-sounding audio, it bridges the gap between written content and auditory experiences. This innovation has applications in education, entertainment, and accessibility, making it easier for people with disabilities to engage with the digital world.",4
samyak,12.wav,"In recent years, artificial intelligence has significantly improved the quality of text-to-speech systems. These advancements enable machines to produce speech that closely mimics human intonation, rhythm, and emotion. As a result, TTS technology is now being integrated into various fields, including virtual assistants, audiobooks, and customer service.",3
samyak,13.wav,"Nature is a boundless source of inspiration and wonder. From the towering peaks of majestic mountains to the tranquil waves of the ocean, every element reflects an extraordinary diversity. The chirping of birds at dawn, the rustling of leaves in the wind, and the gentle murmur of a flowing river create a harmonious symphony that soothes the soul. Even in the smallest details, like the intricate patterns of a snowflake or the vibrant hues of a blooming flower, nature reminds us of the beauty that surrounds us.",4
samyak,14.wav,"Technology has transformed every aspect of our lives. It has made communication instant, learning accessible, and work more efficient. From smartphones to self-driving cars, innovations continue to shape our future. However, these advancements come with challenges like data privacy and over-dependence. As we embrace new technologies, it’s vital to use them responsibly to create a better, more inclusive world.",2
samyak,15.wav,"Perseverance is key to overcoming life’s challenges. It helps us push through difficulties and turn failures into learning experiences. Many great inventors, athletes, and leaders have succeeded because they refused to give up, even when faced with obstacles. Perseverance teaches us that success is not just about talent but also about dedication and the willingness to try again.",2
samjhana,1.wav,"Hello, welcome to our text-to-speech demo!",5
samjhana,2.wav,The quick brown fox jumps over the lazy dog.,5
samjhana,3.wav,Artificial intelligence makes life easier.,5
samjhana,4.wav,Django is a powerful web framework for developers.,5
samjhana,5.wav,Can you hear this text converted into speech?,5
samjhana,6.wav,"With text-to-speech technology, we can convert written words into lifelike audio.",5
samjhana,7.wav,Speech synthesis allows computers to communicate in a way that feels more natural.,5
samjhana,8.wav,This is a demonstration of how you can use Python to generate human-like speech.,5
samjhana,9.wav,Text-to-speech systems are widely used in navigation devices and accessibility tools.,5
